Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:32 AM      23      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00

09:36:32 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:33 AM     all      8.94      0.00      1.80      0.46      0.00      0.00      0.08      0.00     88.73
09:36:33 AM       0     17.82      0.00      4.95      3.96      0.00      0.00      0.99      0.00     72.28
09:36:33 AM       1     20.79      0.00      1.98      0.00      0.00      0.00      0.00      0.00     77.23
09:36:33 AM       2      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:33 AM       3      2.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.98
09:36:33 AM       4    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:36:33 AM       5      1.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     98.00
09:36:33 AM       6      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:33 AM       7      1.00      0.00      1.00      7.00      0.00      0.00      0.00      0.00     91.00
09:36:33 AM       8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
09:36:33 AM       9      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:33 AM      10      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:33 AM      11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
09:36:33 AM      12     13.13      0.00      1.01      0.00      0.00      0.00      0.00      0.00     85.86
09:36:33 AM      13      5.94      0.00      2.97      0.00      0.00      0.00      0.00      0.00     91.09
09:36:33 AM      14      2.02      0.00      3.03      0.00      0.00      0.00      0.00      0.00     94.95
09:36:33 AM      15     27.27      0.00     17.17      0.00      0.00      0.00      0.00      0.00     55.56
09:36:33 AM      16      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:33 AM      17      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:33 AM      18      6.06      0.00      0.00      0.00      0.00      0.00      0.00      0.00     93.94
09:36:33 AM      19      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:33 AM      20      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:33 AM      21      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:33 AM      22      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:33 AM      23      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00     98.02

09:36:33 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:34 AM     all      8.56      0.00      2.80      1.55      0.00      0.00      0.08      0.00     87.01
09:36:34 AM       0      7.07      0.00      2.02     26.26      0.00      0.00      0.00      0.00     64.65
09:36:34 AM       1     59.00      0.00     38.00      0.00      0.00      0.00      0.00      0.00      3.00
09:36:34 AM       2      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:34 AM       3      4.00      0.00      1.00      1.00      0.00      0.00      0.00      0.00     94.00
09:36:34 AM       4     99.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00
09:36:34 AM       5      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00     95.96
09:36:34 AM       6      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00     96.97
09:36:34 AM       7      3.03      0.00      1.01      0.00      0.00      0.00      1.01      0.00     94.95
09:36:34 AM       8      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00     98.02
09:36:34 AM       9      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:34 AM      10      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00     98.99
09:36:34 AM      11      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:34 AM      12      4.85      0.00      1.94      1.94      0.00      0.00      0.97      0.00     90.29
09:36:34 AM      13      3.00      0.00      2.00      6.00      0.00      0.00      0.00      0.00     89.00
09:36:34 AM      14      4.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00     93.00
09:36:34 AM      15      4.04      0.00      2.02      0.00      0.00      0.00      0.00      0.00     93.94
09:36:34 AM      16      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:34 AM      17      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:34 AM      18      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:34 AM      19      2.00      0.00      1.00      2.00      0.00      0.00      0.00      0.00     95.00
09:36:34 AM      20      2.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:34 AM      21      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:34 AM      22      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:34 AM      23      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

09:36:34 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:35 AM     all     11.04      0.00      2.13      0.25      0.00      0.00      0.13      0.00     86.45
09:36:35 AM       0     11.00      0.00      3.00      1.00      0.00      0.00      1.00      0.00     84.00
09:36:35 AM       1      8.08      0.00      3.03      0.00      0.00      0.00      0.00      0.00     88.89
09:36:35 AM       2      5.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     93.00
09:36:35 AM       3     50.51      0.00     23.23      0.00      0.00      0.00      1.01      0.00     25.25
09:36:35 AM       4     89.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     11.00
09:36:35 AM       5      5.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     93.00
09:36:35 AM       6      8.08      0.00      0.00      0.00      0.00      0.00      0.00      0.00     91.92
09:36:35 AM       7      9.00      0.00      1.00      3.00      0.00      0.00      0.00      0.00     87.00
09:36:35 AM       8      5.05      0.00      0.00      0.00      0.00      0.00      0.00      0.00     94.95
09:36:35 AM       9      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:35 AM      10      3.92      0.00      0.98      0.00      0.00      0.00      0.00      0.00     95.10
09:36:35 AM      11      3.96      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.04
09:36:35 AM      12      7.22      0.00      0.00      0.00      0.00      0.00      0.00      0.00     92.78
09:36:35 AM      13      6.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     92.00
09:36:35 AM      14      3.00      0.00      2.00      1.00      0.00      0.00      1.00      0.00     93.00
09:36:35 AM      15      4.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00     95.96
09:36:35 AM      16      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:35 AM      17      4.04      0.00      1.01      0.00      0.00      0.00      0.00      0.00     94.95
09:36:35 AM      18     19.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     81.00
09:36:35 AM      19      5.05      0.00      2.02      0.00      0.00      0.00      0.00      0.00     92.93
09:36:35 AM      20      3.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:35 AM      21      4.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00     92.00
09:36:35 AM      22      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:35 AM      23      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00

09:36:35 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:36 AM     all     10.12      0.00      1.25      0.42      0.00      0.00      0.08      0.00     88.13
09:36:36 AM       0      6.12      0.00      2.04      3.06      0.00      0.00      0.00      0.00     88.78
09:36:36 AM       1     50.51      0.00      0.00      1.01      0.00      0.00      0.00      0.00     48.48
09:36:36 AM       2      4.04      0.00      1.01      1.01      0.00      0.00      0.00      0.00     93.94
09:36:36 AM       3    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:36:36 AM       4     11.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     88.00
09:36:36 AM       5      3.06      0.00      1.02      0.00      0.00      0.00      0.00      0.00     95.92
09:36:36 AM       6      2.97      0.00      1.98      1.98      0.00      0.00      0.00      0.00     93.07
09:36:36 AM       7      6.00      0.00      1.00      1.00      0.00      0.00      0.00      0.00     92.00
09:36:36 AM       8      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:36 AM       9      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:36 AM      10      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00     98.99
09:36:36 AM      11      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
09:36:36 AM      12     42.00      0.00      2.00      1.00      0.00      0.00      1.00      0.00     54.00
09:36:36 AM      13      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00     95.96
09:36:36 AM      14      2.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:36 AM      15      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00     95.96
09:36:36 AM      16      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
