Linux 2.6.32-131.4.1.el6.x86_64 (esv4-app133.stg) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:34:10 PM      0.00     32.00    183.00      0.00    589.50      0.00      0.00      0.00      0.00
09:34:12 PM      0.00      0.00    124.50      0.00    463.50      0.00      0.00      0.00      0.00
09:34:14 PM      0.00     30.00    164.00      0.00    467.00      0.00      0.00      0.00      0.00
09:34:16 PM      0.00     31.84    121.89      0.00   2981.59      0.00      0.00      0.00      0.00
09:34:18 PM      0.00      8.33  54237.25      0.00  17344.61      0.00      0.00      0.00      0.00
09:34:20 PM      0.00      0.00  25176.80      0.00   8414.43      0.00      0.00      0.00      0.00
09:34:22 PM      0.00     36.00    125.00      0.00    458.50      0.00      0.00      0.00      0.00
09:34:24 PM      0.00    880.50    125.00      0.00    466.50      0.00      0.00      0.00      0.00
09:34:26 PM      0.00      0.00    135.68      0.00   3285.43      0.00      0.00      0.00      0.00
09:34:28 PM      0.00     48.06    146.60      0.00    461.65      0.00      0.00      0.00      0.00
09:34:30 PM      0.00      0.00    178.00      0.00    610.50      0.00      0.00      0.00      0.00
09:34:32 PM      0.00      0.00    128.36      0.00    461.69      0.00      0.00      0.00      0.00
09:34:34 PM      0.00     30.20    126.73      0.00    493.56      0.00      0.00      0.00      0.00
09:34:36 PM      0.00      0.00    119.50      0.00   1453.50      0.00    230.50    222.50     96.53
09:34:38 PM      0.00     18.50    129.00      0.00   1500.00      0.00    149.50    148.00     99.00
09:34:40 PM    256.00     26.00    193.50      4.00    587.50      0.00      0.00      0.00      0.00
09:34:42 PM      0.00      0.00    127.50      0.00    532.00      0.00      0.00      0.00      0.00
09:34:44 PM      0.00     14.00    130.00      0.00    509.00      0.00      0.00      0.00      0.00
09:34:46 PM   3230.15     31.66    450.75     34.17    521.61      0.00      0.00      0.00      0.00
09:34:48 PM  59404.93     11.82   5372.91      0.99  10453.69      0.00   1208.37   1149.75     95.15
09:34:50 PM 212043.14      0.49  15641.67      1.47  13805.39      0.00   1176.96   1105.39     93.92
09:34:52 PM 322491.09    148.02   2964.85      0.50  25130.20      0.00  11170.79  10394.06     93.05
