Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU       MHz
09:36:43 AM       3   2501.00
09:36:43 AM       4   2501.00
09:36:43 AM       5   2501.00
09:36:43 AM       6   2501.00
09:36:43 AM       7   2501.00
09:36:43 AM       8   2501.00
09:36:43 AM       9   2501.00
09:36:43 AM      10   2501.00
09:36:43 AM      11   2501.00
09:36:43 AM      12   2501.00
09:36:43 AM      13   2501.00
09:36:43 AM      14   2501.00
09:36:43 AM      15   2501.00
09:36:43 AM      16   2501.00
09:36:43 AM      17   2501.00
09:36:43 AM      18   2501.00
09:36:43 AM      19   2501.00
09:36:43 AM      20   2501.00
09:36:43 AM      21   2501.00
09:36:43 AM      22   2501.00
09:36:43 AM      23   2501.00

09:36:43 AM     CPU       MHz
09:36:44 AM     all   2501.00
09:36:44 AM       0   2501.00
09:36:44 AM       1   2501.00
09:36:44 AM       2   2501.00
09:36:44 AM       3   2501.00
09:36:44 AM       4   2501.00
09:36:44 AM       5   2501.00
09:36:44 AM       6   2501.00
09:36:44 AM       7   2501.00
09:36:44 AM       8   2501.00
09:36:44 AM       9   2501.00
09:36:44 AM      10   2501.00
09:36:44 AM      11   2501.00
09:36:44 AM      12   2501.00
09:36:44 AM      13   2501.00
09:36:44 AM      14   2501.00
09:36:44 AM      15   2501.00
09:36:44 AM      16   2501.00
09:36:44 AM      17   2501.00
09:36:44 AM      18   2501.00
09:36:44 AM      19   2501.00
09:36:44 AM      20   2501.00
09:36:44 AM      21   2501.00
09:36:44 AM      22   2501.00
09:36:44 AM      23   2501.00

09:36:44 AM     CPU       MHz
09:36:45 AM     all   2501.00
09:36:45 AM       0   2501.00
09:36:45 AM       1   2501.00
09:36:45 AM       2   2501.00
09:36:45 AM       3   2501.00
09:36:45 AM       4   2501.00
09:36:45 AM       5   2501.00
09:36:45 AM       6   2501.00
09:36:45 AM       7   2501.00
09:36:45 AM       8   2501.00
09:36:45 AM       9   2501.00
09:36:45 AM      10   2501.00
09:36:45 AM      11   2501.00
09:36:45 AM      12   2501.00
09:36:45 AM      13   2501.00
09:36:45 AM      14   2501.00
09:36:45 AM      15   2501.00
09:36:45 AM      16   2501.00
09:36:45 AM      17   2501.00
09:36:45 AM      18   2501.00
09:36:45 AM      19   2501.00
09:36:45 AM      20   2501.00
09:36:45 AM      21   2501.00
09:36:45 AM      22   2501.00
09:36:45 AM      23   2501.00

09:36:45 AM     CPU       MHz
09:36:46 AM     all   2501.00
09:36:46 AM       0   2501.00
09:36:46 AM       1   2501.00
09:36:46 AM       2   2501.00
09:36:46 AM       3   2501.00
09:36:46 AM       4   2501.00
09:36:46 AM       5   2501.00
09:36:46 AM       6   2501.00
09:36:46 AM       7   2501.00
09:36:46 AM       8   2501.00
09:36:46 AM       9   2501.00
09:36:46 AM      10   2501.00
09:36:46 AM      11   2501.00
09:36:46 AM      12   2501.00
09:36:46 AM      13   2501.00
09:36:46 AM      14   2501.00
09:36:46 AM      15   2501.00
09:36:46 AM      16   2501.00
09:36:46 AM      17   2501.00
09:36:46 AM      18   2501.00
09:36:46 AM      19   2501.00
09:36:46 AM      20   2501.00
09:36:46 AM      21   2501.00
09:36:46 AM      22   2501.00
09:36:46 AM      23   2501.00

09:36:46 AM     CPU       MHz
09:36:47 AM     all   2501.00
09:36:47 AM       0   2501.00
09:36:47 AM       1   2501.00
09:36:47 AM       2   2501.00
09:36:47 AM       3   2501.00
09:36:47 AM       4   2501.00
09:36:47 AM       5   2501.00
09:36:47 AM       6   2501.00
09:36:47 AM       7   2501.00
09:36:47 AM       8   2501.00
09:36:47 AM       9   2501.00
09:36:47 AM      10   2501.00
09:36:47 AM      11   2501.00
09:36:47 AM      12   2501.00
09:36:47 AM      13   2501.00
09:36:47 AM      14   2501.00
09:36:47 AM      15   2501.00
09:36:47 AM      16   2501.00
09:36:47 AM      17   2501.00
09:36:47 AM      18   2501.00
09:36:47 AM      19   2501.00
09:36:47 AM      20   2501.00
09:36:47 AM      21   2501.00
09:36:47 AM      22   2501.00
09:36:47 AM      23   2501.00

09:36:47 AM     CPU       MHz
09:36:48 AM     all   2501.00
09:36:48 AM       0   2501.00
09:36:48 AM       1   2501.00
09:36:48 AM       2   2501.00
09:36:48 AM       3   2501.00
09:36:48 AM       4   2501.00
09:36:48 AM       5   2501.00
09:36:48 AM       6   2501.00
09:36:48 AM       7   2501.00
09:36:48 AM       8   2501.00
09:36:48 AM       9   2501.00
09:36:48 AM      10   2501.00
09:36:48 AM      11   2501.00
09:36:48 AM      12   2501.00
09:36:48 AM      13   2501.00
09:36:48 AM      14   2501.00
09:36:48 AM      15   2501.00
09:36:48 AM      16   2501.00
09:36:48 AM      17   2501.00
09:36:48 AM      18   2501.00
