2012-03-30T22:34:30 name	value	pct	last_value	last_pct
2012-03-30T22:34:32 Com_create_db	22	0.00%	0	0.00%
2012-03-30T22:34:32 Com_slave_stop	12	0.00%	0	0.00%
2012-03-30T22:34:32 Com_drop_db	10	0.00%	0	0.00%
2012-03-30T22:34:32 Com_slave_start	7	0.00%	0	0.00%
2012-03-30T22:34:32 Com_show_databases	5	0.00%	0	0.00%
2012-03-30T22:34:32 Com_reset	4	0.00%	0	0.00%
2012-03-30T22:34:32 Com_change_master	2	0.00%	0	0.00%
2012-03-30T22:34:32 Com_show_binlog_events	2	0.00%	0	0.00%
2012-03-30T22:34:32 Com_show_binlogs	2	0.00%	0	0.00%
2012-03-30T22:34:32 Com_show_fields	2	0.00%	1	0.00%
2012-03-30T22:34:32 Com_show_master_status	2	0.00%	2	0.01%
2012-03-30T22:34:32 Com_alter_db_upgrade	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_db	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_event	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_function	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_server	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_tablespace	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_alter_table	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_analyze	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_assign_to_keycache	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_binlog	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_call_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_checksum	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_check	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_event	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_function	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_index	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_server	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_trigger	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_udf	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_user	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_view	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_dealloc_sql	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_delete_multi	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_delete	0	0.00%	0	0.00%
