Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM    proc/s   cswch/s
09:38:50 PM      0.00    630.50
09:38:52 PM      0.00    567.50
09:38:54 PM      0.00    585.50
09:38:56 PM      0.50    583.92
09:38:58 PM      0.00    599.50
09:39:00 PM      0.00    635.68
09:39:02 PM      0.00    610.00
09:39:04 PM      0.00    561.69
09:39:06 PM      0.00    547.24
09:39:08 PM      0.00    612.00
09:39:10 PM      0.00    583.00
09:39:12 PM      0.00    569.65
09:39:14 PM      0.00    649.50
09:39:16 PM      0.00    546.50
09:39:18 PM      0.50    618.59
09:39:20 PM      0.00    603.50
09:39:22 PM    288.00   3498.00
09:39:24 PM      0.00    642.00
09:39:26 PM      0.00    584.00
09:39:28 PM      0.00    604.52
09:39:30 PM      0.00    576.12
09:39:32 PM      0.50    590.55
09:39:34 PM      0.00    591.96
09:39:36 PM      0.00    544.28
09:39:38 PM      0.00    636.18
09:39:40 PM      0.00    587.50
09:39:42 PM      0.00    565.00
09:39:44 PM      0.50    612.00
09:39:46 PM      0.00    558.00
09:39:48 PM      0.00    663.82
09:39:50 PM      0.00    606.47
09:39:52 PM      0.00    559.50
09:39:54 PM      0.00    579.00
09:39:56 PM      0.50    589.50
09:39:58 PM      1.00    602.50
09:40:00 PM      0.00    569.85
09:40:02 PM      1.00    794.53
09:40:04 PM      0.00    571.00
09:40:06 PM      0.00    561.50
09:40:08 PM      0.00    623.12
09:40:10 PM      0.50    570.65
09:40:12 PM      0.00    631.00
09:40:14 PM      0.00    651.50
09:40:16 PM      0.00    546.23
09:40:18 PM      0.00    622.50
09:40:20 PM      0.00    596.52
09:40:22 PM    288.00   3477.50
09:40:24 PM      0.00    619.50
09:40:26 PM      0.00    569.00
09:40:28 PM      0.00    603.50
09:40:30 PM      0.00    614.07
09:40:32 PM      0.50    606.97
09:40:34 PM      0.50    565.33
09:40:36 PM      0.00    619.40
09:40:38 PM      0.00    619.00
09:40:40 PM      0.00    567.84
09:40:42 PM      0.00    608.25
09:40:44 PM      0.00    571.36
09:40:46 PM      0.00    541.29
09:40:48 PM      0.00    627.50
09:40:50 PM      0.00    633.68
09:40:52 PM      0.00    565.67
09:40:54 PM      0.00    590.73
