Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:32:08 PM     all      4.13      0.00      4.19      0.02      0.00      0.00      0.00      0.00     91.65
09:32:10 PM     all      4.25      0.00      4.31      0.00      0.00      0.00      0.00      0.00     91.44
09:32:12 PM     all      4.29      0.00      4.38      0.00      0.00      0.00      0.00      0.00     91.33
09:32:14 PM     all      4.16      0.00      4.20      0.00      0.00      0.00      0.02      0.00     91.61
09:32:16 PM     all      4.27      0.00      4.35      0.00      0.00      0.00      0.00      0.00     91.38
09:32:18 PM     all      4.40      0.00      5.00      0.12      0.00      0.00      0.00      0.00     90.47
09:32:20 PM     all      4.19      0.00      4.32      0.00      0.00      0.00      0.00      0.00     91.49
09:32:22 PM     all      4.17      0.00      4.30      0.04      0.00      0.00      0.00      0.00     91.49
09:32:24 PM     all      4.37      0.00      4.50      0.00      0.00      0.00      0.02      0.00     91.12
09:32:26 PM     all      4.07      0.00      4.17      0.00      0.00      0.00      0.00      0.00     91.77
09:32:28 PM     all      4.38      0.00      4.47      0.00      0.00      0.00      0.00      0.00     91.16
09:32:30 PM     all      4.26      0.00      4.32      0.00      0.00      0.00      0.02      0.00     91.40
09:32:32 PM     all      4.02      0.00      4.04      0.02      0.00      0.00      0.04      0.00     91.88
09:32:34 PM     all      4.33      0.00      4.18      0.00      0.00      0.00      0.06      0.00     91.43
09:32:36 PM     all      4.34      0.00      4.43      0.00      0.00      0.00      0.00      0.00     91.23
09:32:38 PM     all      4.06      0.00      4.14      0.02      0.00      0.00      0.00      0.00     91.77
09:32:40 PM     all      4.37      0.00      4.39      0.00      0.00      0.00      0.02      0.00     91.22
09:32:42 PM     all      4.23      0.00      4.36      0.00      0.00      0.00      0.00      0.00     91.41
09:32:44 PM     all      4.33      0.00      4.25      0.31      0.00      0.00      0.02      0.00     91.09
09:32:46 PM     all      4.06      0.00      6.74      0.00      0.00      0.00      0.00      0.00     89.20
09:32:48 PM     all      4.40      0.00      4.51      0.02      0.00      0.00      0.00      0.00     91.07
09:32:50 PM     all      4.22      0.00      4.06      0.00      0.00      0.00      0.00      0.00     91.71
09:32:52 PM     all      4.37      0.00      4.48      0.00      0.00      0.00      0.00      0.00     91.15
09:32:54 PM     all      8.65      0.00      0.73      0.51      0.00      0.00      0.02      0.00     90.09
09:32:56 PM     all      4.50      0.00      0.16      0.00      0.00      0.00      0.00      0.00     95.34
09:32:58 PM     all      4.25      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.60
09:33:00 PM     all      4.28      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.59
09:33:02 PM     all      4.01      0.00      0.18      0.06      0.00      0.00      0.00      0.00     95.75
09:33:04 PM     all      4.36      0.00      0.15      0.04      0.00      0.00      0.00      0.00     95.44
09:33:06 PM     all      4.22      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.66
09:33:08 PM     all      4.10      0.00      0.14      0.02      0.00      0.00      0.00      0.00     95.73
09:33:10 PM     all      4.22      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.64
09:33:12 PM     all     43.51      0.00      0.15      0.00      0.00      0.00      0.00      0.00     56.34
09:33:14 PM     all      9.67      0.00      0.23      0.05      0.00      0.00      0.02      0.00     90.03
09:33:16 PM     all      4.36      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.51
09:33:18 PM     all      4.28      0.00      1.01      0.19      0.00      0.00      0.00      0.00     94.52
09:33:20 PM     all      4.32      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.53
09:33:22 PM     all      4.19      0.00      0.17      0.06      0.00      0.00      0.00      0.00     95.59
09:33:24 PM     all      4.30      0.00      0.13      0.00      0.00      0.00      0.02      0.00     95.55
09:33:26 PM     all      4.07      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.81
09:33:28 PM     all      4.31      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.56
09:33:30 PM     all      4.23      0.00      0.23      0.00      0.00      0.00      0.00      0.00     95.53
09:33:32 PM     all      4.17      0.00      0.16      0.06      0.00      0.00      0.00      0.00     95.60
09:33:34 PM     all      4.17      0.00      0.18      0.00      0.00      0.00      0.00      0.00     95.65
09:33:36 PM     all     15.99      0.00      1.09      0.00      0.00      0.00      0.00      0.00     82.93
09:33:38 PM     all     35.02      0.00      0.44      0.00      0.00      0.00      0.00      0.00     64.54
09:33:40 PM     all     18.70      0.00      0.21      0.00      0.00      0.00      0.00      0.00     81.09
09:33:42 PM     all     18.33      0.00      0.21      0.00      0.00      0.00      0.00      0.00     81.46
09:33:44 PM     all     18.35      0.00      0.23      0.00      0.00      0.00      0.00      0.00     81.42
09:33:46 PM     all      5.90      0.00      0.15      0.00      0.00      0.00      0.00      0.00     93.96
09:33:48 PM     all      4.21      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.67
09:33:50 PM     all      4.15      0.00      0.17      0.00      0.00      0.00      0.00      0.00     95.69
09:33:52 PM     all      4.24      0.00      0.10      0.00      0.00      0.00      0.00      0.00     95.66
09:33:54 PM     all      4.19      0.00      0.12      0.02      0.00      0.00      0.00      0.00     95.67
09:33:56 PM     all      4.19      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.67
09:33:58 PM     all      4.29      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.58
09:34:00 PM     all      4.37      0.00      0.94      0.00      0.00      0.00      0.00      0.00     94.69
09:34:02 PM     all     44.23      0.00      0.73      0.00      0.00      0.00      0.00      0.00     55.05
09:34:04 PM     all     18.52      0.00      0.19      0.00      0.00      0.00      0.00      0.00     81.29
09:34:06 PM     all     18.99      0.00      0.24      0.02      0.00      0.00      0.00      0.00     80.75
09:34:08 PM     all     18.23      0.00      0.21      0.00      0.00      0.00      0.02      0.00     81.55
09:34:10 PM     all     11.68      0.00      0.15      0.00      0.00      0.00      0.00      0.00     88.18
09:34:12 PM     all      4.20      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.68
09:34:14 PM     all      4.18      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.68
09:34:16 PM     all      4.22      0.00      0.44      0.00      0.00      0.00      0.00      0.00     95.34
09:34:18 PM     all      4.16      0.00      0.47      0.00      0.00      0.00      0.00      0.00     95.37
09:34:20 PM     all      4.55      0.00      0.44      0.00      0.00      0.00      0.00      0.00     95.02
09:34:22 PM     all      4.25      0.00      0.15      0.02      0.00      0.00      0.00      0.00     95.58
09:34:24 PM     all      4.49      0.00      1.05      0.00      0.00      0.00      0.00      0.00     94.46
09:34:26 PM     all     36.97      0.00      0.60      0.00      0.00      0.00      0.00      0.00     62.44
09:34:28 PM     all     18.47      0.00      0.42      0.00      0.00      0.00      0.00      0.00     81.11
09:34:30 PM     all     18.02      0.00      0.18      0.00      0.00      0.00      0.00      0.00     81.79
09:34:32 PM     all     18.57      0.00      0.17      0.00      0.00      0.00      0.00      0.00     81.27
09:34:34 PM     all     15.12      0.00      0.19      0.00      0.00      0.00      0.00      0.00     84.69
09:34:36 PM     all      4.30      0.00      0.49      0.00      0.00      0.00      0.00      0.00     95.21
09:34:38 PM     all      4.10      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.75
09:34:40 PM     all      4.22      0.00      0.17      0.06      0.00      0.00      0.00      0.00     95.55
09:34:42 PM     all      4.22      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.63
09:34:44 PM     all      4.07      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.79
09:34:46 PM     all      2.42      0.00      0.17      1.80      0.00      0.00      0.02      0.00     95.60
09:34:48 PM     all      9.37      0.00      1.06      4.67      0.00      0.00      0.02      0.00     84.88
09:34:50 PM     all     24.50      0.00      1.98      7.01      0.00      0.00      0.04      0.00     66.47
09:34:52 PM     all      6.64      0.00      2.70      9.34      0.00      0.00      0.06      0.00     81.25
09:34:54 PM     all      5.99      0.00      3.72      8.89      0.00      0.00      0.04      0.00     81.36
09:34:56 PM     all     12.14      0.00     22.15      5.08      0.00      0.00      0.02      0.00     60.62
09:34:58 PM     all      7.44      0.00      3.84     10.80      0.00      0.00      0.06      0.00     77.86
09:35:00 PM     all      4.42      0.00      3.37      9.96      0.00      0.00      0.06      0.00     82.19
09:35:02 PM     all     21.32      0.00     14.43      5.75      0.00      0.00      0.06      0.00     58.43
09:35:04 PM     all      4.66      0.00      0.34      0.06      0.00      0.00      0.00      0.00     94.94
09:35:06 PM     all      0.09      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.78
09:35:08 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:35:10 PM     all      0.12      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.74
09:35:12 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:14 PM     all      0.08      0.00      0.17      0.08      0.00      0.00      0.00      0.00     99.67
09:35:16 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:35:18 PM     all      0.14      0.00      0.14      0.02      0.00      0.00      0.00      0.00     99.69
09:35:20 PM     all      0.42      0.00      1.12      0.08      0.00      0.00      0.00      0.00     98.38
09:35:22 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.82
09:35:24 PM     all      0.06      0.00      0.14      0.25      0.00      0.00      0.00      0.00     99.55
09:35:26 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:28 PM     all      0.06      0.00      0.15      0.02      0.00      0.00      0.00      0.00     99.77
09:35:30 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:35:32 PM     all      0.08      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.79
09:35:34 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:36 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:38 PM     all      0.06      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.82
09:35:40 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:35:42 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:35:44 PM     all      0.33      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.52
09:35:46 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:48 PM     all      0.04      0.00      0.50      0.00      0.00      0.00      0.00      0.00     99.46
09:35:50 PM     all      0.04      0.00      0.14      0.02      0.00      0.00      0.00      0.00     99.80
09:35:52 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:54 PM     all      0.06      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.81
09:35:56 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:35:58 PM     all      0.06      0.00      0.26      0.02      0.00      0.00      0.02      0.00     99.64
09:36:00 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:36:02 PM     all      0.06      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.77
09:36:04 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:36:06 PM     all      0.07      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.78
09:36:08 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.84
09:36:10 PM     all      0.04      0.00      0.14      0.02      0.00      0.00      0.00      0.00     99.80
09:36:12 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:36:14 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.84
09:36:16 PM     all      0.06      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.79
09:36:18 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:36:20 PM     all      2.62      0.00      1.08      0.00      0.00      0.00      0.00      0.00     96.30
09:36:22 PM     all      0.04      0.00      0.16      0.00      0.00      0.00      0.00      0.00     99.79
09:36:24 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:36:26 PM     all      0.06      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.81
09:36:28 PM     all      0.04      0.00      0.17      0.02      0.00      0.00      0.00      0.00     99.77
09:36:30 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.84
09:36:32 PM     all      0.10      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.77
09:36:34 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.82
09:36:36 PM     all      0.09      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.76
09:36:38 PM     all      0.08      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.80
09:36:40 PM     all      0.06      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.77
09:36:42 PM     all      0.04      0.00      0.19      0.00      0.00      0.00      0.00      0.00     99.77
09:36:44 PM     all      0.06      0.00      0.14      0.02      0.00      0.00      0.00      0.00     99.77
09:36:46 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:36:48 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:36:50 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.84
09:36:52 PM     all      0.06      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.79
09:36:54 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.84
09:36:56 PM     all      0.06      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.81
09:36:58 PM     all      0.02      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.84
09:37:00 PM     all      0.06      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.81
09:37:02 PM     all      0.06      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.77
09:37:04 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.81
09:37:06 PM     all      0.06      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.78
09:37:08 PM     all      0.06      0.00      0.27      0.00      0.00      0.00      0.00      0.00     99.67
09:37:10 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.80
09:37:12 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:37:14 PM     all      0.04      0.00      0.12      0.02      0.00      0.00      0.00      0.00     99.81
09:37:16 PM     all      0.06      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.81
09:37:18 PM     all      0.04      0.00      0.35      0.00      0.00      0.00      0.00      0.00     99.61
09:37:20 PM     all      0.33      0.00      1.18      0.02      0.00      0.00      0.00      0.00     98.48
09:37:22 PM     all      0.04      0.00      0.19      0.00      0.00      0.00      0.00      0.00     99.77
09:37:24 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:37:26 PM     all      0.04      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.78
09:37:28 PM     all      0.06      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.69
09:37:30 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.82
09:37:32 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:37:34 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.82
09:37:36 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:37:38 PM     all      0.06      0.00      0.29      0.02      0.00      0.00      0.00      0.00     99.63
09:37:40 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:37:42 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:37:44 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:37:46 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:37:48 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:37:50 PM     all      0.06      0.00      0.16      0.00      0.00      0.00      0.00      0.00     99.78
09:37:52 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:37:54 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:37:56 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:37:58 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.82
09:38:00 PM     all      0.06      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.81
09:38:02 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:38:04 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.81
09:38:06 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.80
09:38:08 PM     all      0.06      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.81
09:38:10 PM     all      0.06      0.00      0.16      0.00      0.00      0.00      0.00      0.00     99.78
09:38:12 PM     all      0.04      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.83
09:38:14 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.82
09:38:16 PM     all      0.07      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.80
09:38:18 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.81
09:38:20 PM     all      0.08      0.00      0.22      0.02      0.00      0.00      0.00      0.00     99.68
09:38:22 PM     all      0.34      0.00      1.06      0.00      0.00      0.00      0.00      0.00     98.60
09:38:24 PM     all      0.06      0.00      0.13      0.00      0.00      0.00      0.00      0.00     99.81
09:38:26 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:38:28 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:38:30 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.81
09:38:32 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.81
09:38:34 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.83
09:38:36 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.80
09:38:38 PM     all      0.08      0.00      0.12      0.02      0.00      0.00      0.00      0.00     99.78
09:38:40 PM     all      0.04      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.79
09:38:42 PM     all      0.06      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.77
09:38:44 PM     all      0.04      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.83
09:38:46 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:38:48 PM     all      0.04      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.71
09:38:50 PM     all      0.04      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.81
09:38:52 PM     all      0.06      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.79
09:38:54 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:38:56 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
09:38:58 PM     all      0.06      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.81
09:39:00 PM     all      0.06      0.00      0.12      0.00      0.00      0.00      0.00      0.00     99.82
09:39:02 PM     all      0.04      0.00      0.17      0.00      0.00      0.00      0.00      0.00     99.79
09:39:04 PM     all      0.06      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.79
09:39:06 PM     all      0.04      0.00      0.15      0.00      0.00      0.00      0.00      0.00     99.81
